,second_name,team,player_code,now_cost,total_points,photo,position,value
281,Söyüncü,Leicester,218031,5.3,17,218031.jpg,Defender,3.2
282,Justin,Leicester,220627,5.1,92,220627.jpg,Defender,18.0
283,Thomas,Leicester,244619,4.2,4,244619.jpg,Defender,1.0
284,Castagne,Leicester,166477,5.7,54,166477.jpg,Defender,9.5
285,Mendy,Leicester,86881,4.3,33,86881.jpg,Midfielder,7.7
286,Ünder,Leicester,228798,5.7,15,228798.jpg,Midfielder,2.6
287,Fofana,Leicester,444463,5.0,49,444463.jpg,Defender,9.8
288,Slimani,Leicester,149828,4.9,1,149828.jpg,Forward,0.2
291,Hernández Domínguez,Leeds,28690,5.7,18,28690.jpg,Midfielder,3.2
292,Casilla Cortés,Leeds,39790,4.2,2,39790.jpg,Goalkeeper,0.5
293,Cooper,Leeds,55914,4.3,34,55914.jpg,Defender,7.9
295,Ayling,Leeds,66588,4.4,47,66588.jpg,Defender,10.7
296,Klich,Leeds,72222,5.3,73,72222.jpg,Midfielder,13.8
298,Dallas,Leeds,87873,4.8,83,87873.jpg,Defender,17.3
299,Alioski,Leeds,105377,4.4,58,105377.jpg,Defender,13.2
300,Bamford,Leeds,106617,6.6,124,106617.jpg,Forward,18.8
301,Harrison,Leeds,221399,5.4,86,221399.jpg,Midfielder,15.9
302,Phillips,Leeds,155405,4.9,41,155405.jpg,Midfielder,8.4
303,Sousa de Azevedo e Costa,Leeds,165808,5.1,38,165808.jpg,Midfielder,7.5
304,Roberts,Leeds,173821,4.7,11,173821.jpg,Midfielder,2.3
307,Poveda-Ocampo,Leeds,215460,4.3,10,215460.jpg,Midfielder,2.3
308,Shackleton,Leeds,221610,4.8,11,221610.jpg,Midfielder,2.3
309,Struijk,Leeds,222694,3.9,23,222694.jpg,Defender,5.9
311,Meslier,Leeds,437495,4.7,79,437495.jpg,Goalkeeper,16.8
312,Davis,Leeds,455084,3.9,2,455084.jpg,Defender,0.5
314,Koch,Leeds,193645,4.3,32,193645.jpg,Defender,7.4
315,Moreno,Leeds,80954,5.7,55,80954.jpg,Forward,9.6
318,Llorente,Leeds,149915,4.4,1,149915.jpg,Defender,0.2
319,Dias Belloli,Leeds,219961,5.3,69,219961.jpg,Midfielder,13.0
323,Milner,Liverpool,15157,5.3,29,15157.jpg,Midfielder,5.5
325,Wijnaldum,Liverpool,41733,5.3,62,41733.jpg,Midfielder,11.7
326,Henderson,Liverpool,56979,5.4,51,56979.jpg,Midfielder,9.4
327,San Miguel del Castillo,Liverpool,60706,4.2,2,60706.jpg,Goalkeeper,0.5
328,Matip,Liverpool,60914,5.4,42,60914.jpg,Defender,7.8
329,Shaqiri,Liverpool,68312,6.4,19,68312.jpg,Midfielder,3.0
330,Oxlade-Chamberlain,Liverpool,81880,6.3,9,81880.jpg,Midfielder,1.4
331,Firmino,Liverpool,92217,9.5,86,92217.jpg,Forward,9.1
332,van Dijk,Liverpool,97032,6.3,15,97032.jpg,Defender,2.4
333,Mané,Liverpool,110979,11.9,103,110979.jpg,Midfielder,8.7
334,Ramses Becker,Liverpool,116535,5.9,71,116535.jpg,Goalkeeper,12.0
335,Tavares,Liverpool,116643,5.4,40,116643.jpg,Midfielder,7.4
336,Salah,Liverpool,118748,12.7,148,118748.jpg,Midfielder,11.7
337,Robertson,Liverpool,122798,7.4,94,122798.jpg,Defender,12.7
338,Origi,Liverpool,152760,5.2,9,152760.jpg,Forward,1.7
340,Alexander-Arnold,Liverpool,169187,7.4,71,169187.jpg,Defender,9.6
341,Gomez,Liverpool,171287,5.2,10,171287.jpg,Defender,1.9
342,Keita,Liverpool,175592,5.2,12,175592.jpg,Midfielder,2.3
343,Jones,Liverpool,206915,4.4,27,206915.jpg,Midfielder,6.1
344,Williams,Liverpool,215136,3.9,8,215136.jpg,Defender,2.1
346,Jota,Liverpool,194634,6.6,47,194634.jpg,Midfielder,7.1
347,Alcántara do Nascimento,Liverpool,61558,5.7,15,61558.jpg,Midfielder,2.6
