,second_name,team,player_code,now_cost,total_points,photo,position,value
638,Kilman,Wolves,214048,4.0,45,214048.jpg,Defender,11.2
639,Silva Nascimento Vinagre,Wolves,216054,4.1,1,216054.jpg,Defender,0.2
641,Gibbs-White,Wolves,222531,4.9,3,222531.jpg,Midfielder,0.6
642,Lomba Neto,Wolves,247632,5.7,96,247632.jpg,Midfielder,16.8
645,Silva,Wolves,449988,5.2,31,449988.jpg,Forward,6.0
646,Marçal,Wolves,111291,4.7,16,111291.jpg,Defender,3.4
647,Ferreira,Wolves,437858,4.7,16,437858.jpg,Midfielder,3.4
648,Hoever,Wolves,441271,4.4,7,441271.jpg,Defender,1.6
649,Cabral Semedo,Wolves,200402,5.3,46,200402.jpg,Defender,8.7
651,Ait Nouri,Wolves,448514,5.0,32,448514.jpg,Defender,6.4
652,Otasowie,Wolves,250604,4.5,6,250604.jpg,Midfielder,1.3
659,Cutrone,Wolves,209353,5.9,2,209353.jpg,Forward,0.3
661,Da Silva,Wolves,73314,7.0,8,73314.jpg,Forward,1.1
